SKU ID,Unit Price,Quantity_2020,Annual_Revenue_2020,Revenue_Share_%,Cumulative_Share_%,ABC,ABC_Rank,Cumulative Reneue Share %
1244AA,60.0,287038.84183887,17222330.51,8.523534726290727,8.523534726290727,A [High],1,8.523534726290727
1295CA,175000.0,66.436467595,11626381.83,5.7540336490221335,14.27756837531286,A [High],2,14.27756837531286
1281BA,139500.0,68.943357576,9617598.38,4.759863000413842,19.0374313757267,A [High],3,19.0374313757267
3205AA,76300.0,110.161600433,8405330.11,4.159897119435902,23.1973284951626,A [High],4,23.1973284951626
1283CA,98333.33,65.803653435,6470692.37,3.2024220582002663,26.399750553362868,A [High],5,26.399750553362868
2117BA,2424.0,2555.284056013,6194008.55,3.0654879686701975,29.465238522033065,A [High],6,29.465238522033065
1967BA,178.65,33546.0,5992992.9,2.966002949943606,32.43124147197667,A [High],7,32.43124147197667
2422BA,49.9,113401.9137809,5658755.5,2.8005849140935246,35.231826386070196,A [High],8,35.231826386070196
2573CA,1618.99,3144.310724548,5090607.62,2.5194018197360784,37.75122820580627,A [High],9,37.75122820580627
1193BA,815.0,6082.0,4956830.0,2.453193695986018,40.20442190179229,A [High],10,40.20442190179229
2418CA,5.8,824452.5290835,4781824.67,2.3665814917506593,42.571003393542945,A [High],11,42.571003393542945
2473CA,5.95,748581.14961727,4454057.84,2.2043658173964205,44.77536921093937,A [High],12,44.77536921093937
1126CA,32.8,133179.0,4368271.2,2.1619089963136275,46.937278207252994,A [High],13,46.937278207252994
1116CA,32.8,122554.0,4019771.2,1.9894322313143986,48.92671043856739,A [High],14,48.92671043856739
1083AA,29.02,132552.0,3846659.04,1.903756979266109,50.830467417833496,A [High],15,50.830467417833496
2565CA,463.03583,7964.2511105739995,3687733.62,1.8251029123572318,52.65557033019073,A [High],16,52.65557033019073
3007CA,18832.33,183.375747319,3453392.59,1.7091247695710419,54.36469509976177,A [High],17,54.36469509976177
2331CA,210.12419,15153.0,3184011.85,1.5758050605658815,55.94050016032765,A [High],18,55.94050016032765
3178CA,26000.0,114.9222934209,2987979.63,1.4787864001893618,57.419286560517016,A [High],19,57.419286560517016
1876AA,22919.0,119.264121232,2733414.39,1.3527990570718518,58.772085617588864,A [High],20,58.772085617588864
1077CA,22.9777,110844.0,2546940.18,1.2605107687028796,60.03259638629174,A [High],21,60.03259638629174
