SKU ID,2020_COGS,current inventory value,turn over ratio,turn over days,turn over ratio share %,Cumulative turn over ratio %,ABC,Rank
1244AA,17222331.0,170040.0,101.28,4,8.52,8.52,A [High],1
1295CA,11626382.0,875000.0,13.29,27,5.75,14.27,A [High],2
1281BA,9617598.0,418500.0,22.98,16,4.76,19.03,A [High],3
3205AA,8405330.0,1068200.0,7.87,46,4.16,23.19,A [High],4
1283CA,6470692.0,0.0,0.0,0,3.2,26.39,A [High],5
2117BA,6194009.0,901728.0,6.87,53,3.07,29.46,A [High],6
1967BA,5992993.0,748633.0,8.01,46,2.97,32.43,A [High],7
2422BA,5658755.0,549199.0,10.3,35,2.8,35.23,A [High],8
2573CA,5090608.0,718832.0,7.08,52,2.52,37.75,A [High],9
1193BA,4956830.0,2409955.0,2.06,177,2.45,40.2,A [High],10
2418CA,4781825.0,700988.0,6.82,54,2.37,42.57,A [High],11
2473CA,4454058.0,439794.0,10.13,36,2.2,44.77,A [High],12
1126CA,4368271.0,1288056.0,3.39,108,2.16,46.93000000000001,A [High],13
1116CA,4019771.0,1095454.0,3.67,99,1.99,48.92000000000001,A [High],14
1083AA,3846659.0,1399054.0,2.75,133,1.9,50.82000000000001,A [High],15
2565CA,3687734.0,803367.0,4.59,80,1.83,52.650000000000006,A [High],16
3007CA,3453393.0,94162.0,36.68,10,1.71,54.36000000000001,A [High],17
2331CA,3184012.0,47698.0,66.75,5,1.58,55.940000000000005,A [High],18
3178CA,2987980.0,104000.0,28.73,13,1.48,57.42,A [High],19
1876AA,2733414.0,114595.0,23.85,15,1.35,58.77,A [High],20
1077CA,2546940.0,1068831.0,2.38,153,1.26,60.03,A [High],21
1993AA,2305923.0,1786749.0,1.29,283,1.14,61.17,A [High],22
1224AA,2175666.0,135412.0,16.07,23,1.08,62.25,A [High],23
2528CA,2168395.0,83916.0,25.84,14,1.07,63.32,A [High],24
3016BA,2008380.0,120035.0,16.73,22,0.99,64.31,A [High],25
3098AA,1992438.0,339884.0,5.86,62,0.99,65.3,A [High],26
2371CA,1951992.0,269909.0,7.23,50,0.97,66.27,A [High],27
2670CA,1774500.0,1328600.0,1.34,272,0.88,67.14999999999999,A [High],28
2025AA,1630851.0,1207529.0,1.35,270,0.81,67.96,A [High],29
1367CA,1558687.0,110000.0,14.17,26,0.77,68.72999999999999,A [High],30
1206BA,1516377.0,185987.0,8.15,45,0.75,69.47999999999999,A [High],31
2458CA,1508308.0,544294.0,2.77,132,0.75,70.22999999999999,B [Medium],32
2317CA,1462085.0,127452.0,11.47,32,0.72,70.94999999999999,B [Medium],33
2564BA,1437803.0,414335.0,3.47,105,0.71,71.65999999999998,B [Medium],34
1970CA,1408765.0,193616.0,7.28,50,0.7,72.35999999999999,B [Medium],35
2044CA,1367554.0,1267543.0,1.08,338,0.68,73.03999999999999,B [Medium],36
1964BA,1363947.0,2164949.0,0.63,579,0.68,73.72,B [Medium],37
1255CA,1352000.0,845000.0,1.6,228,0.67,74.39,B [Medium],38
