Order Date,SKU ID,Order Quantity
19/11/2019,3084CA,1
30/6/2019,2621AA,20
19/4/2020,1193BA,147
21/5/2020,1971AA,10
31/3/2019,3177CA,56.25
4/7/2019,1385CA,13
28/6/2019,1479CA,4
21/12/2019,1206BA,21
6/5/2019,1486CA,2
14/5/2019,1479CA,10
16/8/2019,3399AA,2
31/8/2019,1970CA,15
7/12/2019,1497CA,160
16/8/2019,3512AA,100
15/12/2019,2970CA,1
6/6/2019,2277AA,300
14/4/2019,3462AA,50
22/2/2020,1193BA,90
2/5/2019,1385CA,7
20/11/2019,2212AA,2
28/8/2019,2621AA,4
5/1/2020,1695CA,1
9/8/2019,2078CA,2
16/9/2019,1995AA,190
13/12/2019,2847BA,582
2/3/2019,2337CA,252
4/12/2019,2488CA,18
19/4/2020,3079BA,6
7/9/2019,2317CA,2310
14/6/2019,1499AA,1000
26/4/2019,2458CA,24800
25/4/2019,1907AA,1
23/12/2019,1382CA,10
11/11/2019,3461CA,3
19/5/2019,2096BA,35
8/6/2019,2291AA,124
31/8/2019,2953BA,60
17/4/2019,3512AA,500
25/10/2019,2044CA,4
7/10/2019,3448CA,20
1/4/2020,2814BA,250
25/5/2019,1624CA,3
1/2/2020,2953BA,90
4/1/2020,1993AA,310
14/11/2019,3161BA,100
26/2/2019,2923CA,146
13/3/2020,2953BA,50
8/6/2019,2867AA,10
3/3/2019,3413AA,10
20/4/2019,1479CA,2
20/3/2019,1130AA,250
10/1/2020,2331CA,662
23/5/2020,2315BA,30
21/5/2020,2291AA,3360
11/2/2019,2189CA,5
25/1/2020,2212AA,4
9/5/2019,3576BA,10
20/6/2019,1382CA,4
13/10/2019,1479CA,2
6/4/2019,1499CA,1
18/7/2019,2200CA,4
14/3/2019,2277AA,744
2/1/2020,2956AA,9
24/7/2019,1193BA,31
15/8/2019,2515BA,401
10/5/2020,2039CA,10
16/5/2020,2331CA,82
7/8/2019,2501CA,12
27/2/2020,2317CA,180
6/12/2019,2066AA,1
13/6/2020,1486CA,5
1/5/2019,1163CA,505
18/5/2020,3177CA,67.5
22/11/2019,1511CA,20
5/11/2019,1906CA,1
4/5/2020,2212AA,2
18/3/2019,3590BA,2
4/12/2019,1479CA,2
24/11/2019,1083AA,80
23/4/2020,3084CA,1
13/9/2019,3533CA,30000
19/2/2019,3120BA,4
2/3/2020,3404CA,10
13/5/2020,2640BA,66
3/12/2019,3084CA,1
24/3/2019,1945AA,2
6/2/2019,1145BA,18
6/12/2019,2930CA,1
4/4/2019,2876CA,2
14/11/2019,2923CA,1
14/5/2019,2025AA,10
8/1/2020,2293AA,63
24/11/2019,2930CA,80
21/2/2019,1130AA,544
17/5/2020,2229AA,2
4/3/2020,1266CA,2
28/4/2019,3495CA,10
11/5/2019,3098AA,3
1/2/2019,1499CA,3
11/8/2019,1382CA,8
6/4/2019,3462AA,60
3/6/2020,2041CA,2
22/5/2020,1511CA,20
26/5/2020,1116CA,16668
13/4/2020,3177CA,45
3/4/2020,2013AA,130
22/8/2019,2785BA,606
25/5/2019,3619CA,36
1/5/2020,2606AA,4
2/12/2019,3448CA,8
17/2/2020,3125AA,5
25/1/2020,2930CA,1
27/5/2019,1193BA,16
26/2/2019,3250CA,200
23/3/2019,3461CA,3
13/3/2020,3495CA,5
26/3/2019,3125AA,20
17/3/2020,3448CA,80
20/4/2019,3160BA,1
20/4/2020,2342CA,55186
13/4/2020,3143CA,5
24/6/2019,1445BA,1
